                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.94667,                0.76293,                 1.2499,                0.65603,                0.82781,                0.71143,                0.44461,                 1.1957,                0.80242,                 1.5825,              0.0006502,              0.0006502,              0.0006502
                     56,                0.94744,                0.76395,                 1.2461,                0.72466,                0.80401,                0.74066,                0.45982,                 1.2034,                0.82271,                 1.5844,              0.0006436,              0.0006436,              0.0006436
                     57,                0.94857,                0.78698,                 1.2553,                0.69877,                 0.8289,                0.73335,                0.46642,                 1.2168,                0.83442,                 1.6161,               0.000637,               0.000637,               0.000637
                     58,                0.94277,                0.75716,                 1.2423,                0.71353,                0.79255,                0.84833,                  0.548,                 1.1856,                0.79344,                 1.5671,              0.0006304,              0.0006304,              0.0006304
                     59,                0.93032,                 0.7427,                 1.2406,                0.71172,                0.79179,                 0.7286,                0.46355,                 1.2035,                 0.7977,                 1.6107,              0.0006238,              0.0006238,              0.0006238
                     60,                0.92726,                0.75179,                 1.2507,                0.72137,                0.78832,                0.71194,                0.44214,                  1.194,                 0.8225,                 1.5683,              0.0006172,              0.0006172,              0.0006172
                     61,                0.93233,                0.74552,                 1.2539,                0.68652,                0.83748,                 0.8804,                0.49858,                 1.1647,                0.79248,                 1.5339,              0.0006106,              0.0006106,              0.0006106
                     62,                0.89688,                0.70675,                 1.2225,                0.77692,                0.75295,                0.88175,                 0.5591,                 1.2054,                0.77432,                 1.5959,               0.000604,               0.000604,               0.000604
                     63,                0.92515,                0.73908,                 1.2432,                 0.7437,                0.78974,                0.78808,                0.50022,                 1.1985,                0.79233,                 1.6043,              0.0005974,              0.0005974,              0.0005974
                     64,                0.89791,                0.70912,                  1.221,                0.77747,                0.75664,                0.86917,                0.54841,                 1.2064,                0.79433,                 1.6033,              0.0005908,              0.0005908,              0.0005908
                     65,                0.89697,                0.69797,                 1.2094,                0.76859,                 0.7547,                0.80221,                0.49982,                  1.205,                0.80021,                 1.6298,              0.0005842,              0.0005842,              0.0005842
                     66,                0.90788,                0.72006,                 1.2341,                0.80297,                0.77859,                0.85732,                0.55059,                 1.2051,                0.81254,                 1.6039,              0.0005776,              0.0005776,              0.0005776
                     67,                0.91029,                0.71275,                  1.228,                0.69859,                0.78622,                0.86379,                0.55275,                 1.2143,                0.80358,                 1.6005,               0.000571,               0.000571,               0.000571
                     68,                0.89651,                  0.707,                  1.216,                0.65971,                0.78199,                0.85349,                0.54457,                 1.1743,                0.80279,                 1.5742,              0.0005644,              0.0005644,              0.0005644
                     69,                0.89005,                0.68101,                 1.2163,                0.75914,                0.78936,                0.87429,                0.55905,                 1.2115,                0.79522,                 1.6124,              0.0005578,              0.0005578,              0.0005578
                     70,                0.88881,                0.70734,                 1.2173,                0.74431,                 0.7911,                0.87433,                0.57015,                 1.1724,                0.78063,                 1.5461,              0.0005512,              0.0005512,              0.0005512
                     71,                0.89201,                0.69507,                 1.2227,                0.71746,                0.84005,                0.87219,                0.55772,                 1.2275,                0.78529,                 1.5853,              0.0005446,              0.0005446,              0.0005446
                     72,                 0.8863,                0.69038,                 1.2115,                 0.7181,                  0.807,                0.87865,                0.57803,                 1.1849,                0.78029,                 1.5751,               0.000538,               0.000538,               0.000538
                     73,                0.89126,                0.69123,                 1.2113,                0.75439,                0.77202,                0.86767,                0.56696,                 1.1735,                0.79893,                 1.5772,              0.0005314,              0.0005314,              0.0005314
                     74,                0.87615,                0.68049,                 1.2119,                0.71023,                0.79916,                0.85382,                0.54497,                 1.1776,                0.77998,                 1.5434,              0.0005248,              0.0005248,              0.0005248
                     75,                0.87565,                0.68498,                 1.1984,                0.75877,                0.75922,                 0.8577,                0.55794,                 1.1864,                0.76164,                 1.5833,              0.0005182,              0.0005182,              0.0005182
                     76,                0.87578,                0.66731,                  1.201,                0.75127,                0.80915,                0.86724,                0.56876,                  1.206,                0.76523,                 1.6097,              0.0005116,              0.0005116,              0.0005116
                     77,                0.86364,                0.68144,                 1.1976,                0.78208,                0.80435,                0.88274,                0.57911,                 1.1905,                0.76001,                 1.5794,               0.000505,               0.000505,               0.000505
                     78,                0.85529,                0.66456,                 1.1902,                0.74442,                0.78876,                0.87918,                0.59554,                 1.1763,                  0.772,                 1.5602,              0.0004984,              0.0004984,              0.0004984
                     79,                 0.8769,                0.68144,                 1.2064,                0.73455,                0.76882,                0.85859,                0.56099,                 1.1704,                0.78797,                 1.5819,              0.0004918,              0.0004918,              0.0004918
                     80,                0.87283,                0.66108,                 1.1964,                0.70049,                0.82479,                0.86211,                 0.5747,                 1.1579,                0.74925,                 1.5524,              0.0004852,              0.0004852,              0.0004852
                     81,                0.85336,                0.65468,                  1.199,                0.74304,                0.82749,                0.88423,                0.56283,                 1.1584,                0.76142,                 1.5585,              0.0004786,              0.0004786,              0.0004786
                     82,                0.85718,                0.65968,                 1.1927,                0.77629,                0.77687,                0.86794,                0.56372,                 1.1685,                0.75753,                  1.557,               0.000472,               0.000472,               0.000472
                     83,                0.85244,                0.66173,                 1.1899,                0.79254,                0.76786,                0.87407,                0.55746,                 1.1928,                0.75385,                 1.5985,              0.0004654,              0.0004654,              0.0004654
                     84,                0.83686,                0.64595,                 1.1881,                0.70309,                0.83454,                0.87491,                0.56197,                 1.1856,                0.77731,                 1.5865,              0.0004588,              0.0004588,              0.0004588
                     85,                0.84547,                0.64784,                 1.1903,                0.80738,                0.79178,                0.88384,                0.58286,                 1.1665,                0.73569,                 1.5861,              0.0004522,              0.0004522,              0.0004522
                     86,                0.83547,                0.63511,                 1.1869,                0.82208,                0.77918,                0.88849,                0.57337,                  1.153,                0.73368,                 1.5523,              0.0004456,              0.0004456,              0.0004456
                     87,                0.82726,                 0.6354,                 1.1792,                0.80287,                0.77833,                0.86418,                0.58072,                 1.1581,                0.74858,                 1.5675,               0.000439,               0.000439,               0.000439
                     88,                0.83755,                0.62948,                 1.1778,                0.72665,                0.82866,                0.86571,                 0.5569,                 1.1878,                0.76113,                 1.5789,              0.0004324,              0.0004324,              0.0004324
                     89,                0.81759,                0.62454,                  1.172,                0.81084,                0.74149,                0.86823,                0.57234,                 1.1641,                0.75171,                 1.5639,              0.0004258,              0.0004258,              0.0004258
                     90,                0.82931,                0.62954,                 1.1705,                0.71293,                0.84881,                0.88414,                 0.5857,                 1.1669,                0.73103,                 1.5677,              0.0004192,              0.0004192,              0.0004192
                     91,                0.82901,                0.62735,                 1.1783,                0.80467,                0.78573,                0.88717,                 0.5814,                  1.172,                0.74502,                 1.5748,              0.0004126,              0.0004126,              0.0004126
                     92,                0.80901,                0.61631,                 1.1562,                0.81384,                0.78657,                0.87883,                0.60793,                 1.1503,                0.74689,                 1.5597,               0.000406,               0.000406,               0.000406
                     93,                0.79387,                0.60141,                 1.1562,                0.80217,                0.79574,                0.88975,                0.59646,                 1.1476,                0.72831,                 1.5697,              0.0003994,              0.0003994,              0.0003994
                     94,                0.81801,                 0.6161,                 1.1777,                0.86287,                  0.782,                0.87238,                0.57947,                 1.1736,                0.75336,                 1.5775,              0.0003928,              0.0003928,              0.0003928
                     95,                0.80608,                0.59682,                 1.1551,                0.80348,                0.79206,                0.87547,                0.59182,                 1.1617,                0.75255,                 1.5664,              0.0003862,              0.0003862,              0.0003862
                     96,                0.79676,                0.59508,                 1.1546,                0.78949,                0.80243,                0.87183,                0.56549,                  1.154,                0.71473,                 1.5566,              0.0003796,              0.0003796,              0.0003796
                     97,                0.79665,                0.59732,                 1.1568,                0.72618,                0.83841,                0.87098,                0.56221,                 1.1824,                0.75944,                 1.5828,               0.000373,               0.000373,               0.000373
                     98,                0.78081,                 0.5868,                 1.1475,                0.77749,                0.78864,                0.87893,                0.58206,                 1.1563,                   0.76,                 1.5554,              0.0003664,              0.0003664,              0.0003664
                     99,                0.79221,                0.59384,                 1.1516,                0.76268,                0.83855,                0.88818,                0.57561,                 1.1588,                0.72994,                 1.5573,              0.0003598,              0.0003598,              0.0003598
                    100,                 0.7916,                0.57493,                 1.1513,                0.77512,                0.78473,                0.87315,                0.58867,                 1.1726,                0.76511,                 1.5839,              0.0003532,              0.0003532,              0.0003532
                    101,                0.77481,                0.58976,                 1.1518,                0.74941,                0.78011,                0.87096,                0.56751,                 1.1515,                0.74546,                 1.5737,              0.0003466,              0.0003466,              0.0003466
                    102,                0.78573,                0.58272,                 1.1513,                  0.775,                0.81613,                0.87559,                0.57365,                 1.1565,                0.73209,                 1.5704,                0.00034,                0.00034,                0.00034
                    103,                0.77545,                0.57723,                 1.1348,                0.76689,                0.82599,                0.76491,                0.50483,                 1.1716,                0.74215,                 1.5724,              0.0003334,              0.0003334,              0.0003334
                    104,                 0.7748,                0.57573,                 1.1306,                0.79266,                0.82928,                0.88352,                0.59594,                 1.1573,                0.73395,                 1.5768,              0.0003268,              0.0003268,              0.0003268
                    105,                0.77377,                0.56907,                  1.137,                0.78611,                0.79745,                0.88365,                0.58132,                 1.1767,                0.75118,                 1.5932,              0.0003202,              0.0003202,              0.0003202
                    106,                  0.757,                0.57003,                 1.1314,                0.73931,                0.82661,                0.88216,                0.58274,                 1.1656,                0.74103,                 1.5931,              0.0003136,              0.0003136,              0.0003136
                    107,                0.77413,                0.56806,                  1.141,                0.75251,                0.81769,                0.87813,                0.58891,                 1.1662,                0.72769,                 1.5888,               0.000307,               0.000307,               0.000307
                    108,                0.75943,                0.57469,                 1.1293,                 0.7893,                0.79847,                0.88157,                0.60087,                 1.1675,                0.74313,                 1.5948,              0.0003004,              0.0003004,              0.0003004
                    109,                0.77323,                0.58072,                  1.146,                0.76228,                0.84762,                0.88579,                0.57951,                 1.1607,                 0.7359,                 1.5865,              0.0002938,              0.0002938,              0.0002938
                    110,                0.74953,                0.55803,                 1.1226,                 0.7921,                0.81696,                0.87849,                0.56514,                 1.1693,                0.73883,                 1.6023,              0.0002872,              0.0002872,              0.0002872
                    111,                0.76223,                0.55742,                 1.1263,                0.81006,                0.77759,                0.87936,                0.56579,                 1.1897,                 0.7497,                  1.623,              0.0002806,              0.0002806,              0.0002806
                    112,                0.75667,                0.55376,                 1.1319,                0.75823,                0.80471,                0.87583,                0.58689,                 1.1659,                0.73527,                 1.6098,               0.000274,               0.000274,               0.000274
                    113,                 0.7509,                0.55637,                 1.1317,                0.74658,                0.84911,                0.88959,                0.59595,                 1.1634,                0.74024,                 1.5763,              0.0002674,              0.0002674,              0.0002674
                    114,                 0.7415,                0.54424,                 1.1223,                0.79824,                 0.8111,                0.88314,                0.59864,                 1.1602,                0.72939,                 1.5837,              0.0002608,              0.0002608,              0.0002608
                    115,                0.74283,                 0.5403,                 1.1173,                0.77785,                0.77242,                0.87913,                0.58556,                 1.1791,                0.74878,                 1.6067,              0.0002542,              0.0002542,              0.0002542
                    116,                0.74539,                0.55061,                 1.1183,                0.76976,                0.78129,                0.88045,                0.58942,                  1.177,                0.73672,                 1.6262,              0.0002476,              0.0002476,              0.0002476
                    117,                0.72776,                0.53232,                 1.1061,                0.77265,                0.78228,                 0.8836,                0.58751,                 1.1645,                0.75341,                 1.6122,               0.000241,               0.000241,               0.000241
                    118,                0.71783,                0.52249,                 1.1078,                0.75595,                0.83702,                0.87858,                0.58032,                 1.1563,                0.72498,                 1.5944,              0.0002344,              0.0002344,              0.0002344
                    119,                0.73304,                0.52783,                 1.1162,                0.80644,                 0.7832,                0.87315,                0.57533,                 1.1596,                0.74371,                 1.5956,              0.0002278,              0.0002278,              0.0002278
                    120,                0.73193,                0.53419,                 1.1182,                0.85537,                0.74317,                0.87925,                0.59351,                 1.1497,                0.73024,                 1.5786,              0.0002212,              0.0002212,              0.0002212
                    121,                0.73934,                0.53577,                 1.1164,                0.81559,                0.79943,                  0.872,                0.56614,                 1.1562,                0.73615,                 1.5747,              0.0002146,              0.0002146,              0.0002146
                    122,                0.71642,                0.52969,                 1.1108,                 0.8229,                0.80639,                0.87959,                  0.585,                 1.1623,                0.74052,                 1.6031,               0.000208,               0.000208,               0.000208
                    123,                0.71187,                0.52028,                 1.1046,                0.81987,                0.74776,                0.87332,                0.60457,                 1.1564,                 0.7205,                 1.5958,              0.0002014,              0.0002014,              0.0002014
                    124,                0.72224,                0.53079,                 1.1081,                0.82319,                0.77683,                0.88343,                0.57801,                 1.1418,                0.72359,                 1.5952,              0.0001948,              0.0001948,              0.0001948
                    125,                0.72661,                0.52555,                 1.1142,                0.83061,                 0.7804,                0.88359,                 0.6049,                 1.1447,                0.72482,                 1.5881,              0.0001882,              0.0001882,              0.0001882
                    126,                0.71514,                0.52156,                 1.1043,                0.80407,                0.79814,                0.87724,                0.58766,                 1.1655,                0.73093,                  1.612,              0.0001816,              0.0001816,              0.0001816
                    127,                0.71527,                 0.5154,                 1.1007,                0.79122,                0.75622,                 0.8706,                0.58703,                 1.1604,                0.75817,                 1.6089,               0.000175,               0.000175,               0.000175
                    128,                0.69023,                0.51023,                 1.0926,                0.80324,                0.76215,                0.88018,                0.59056,                 1.1582,                0.73383,                 1.6122,              0.0001684,              0.0001684,              0.0001684
                    129,                0.70572,                0.50734,                 1.1061,                0.79479,                0.78022,                0.88241,                0.59078,                 1.1546,                0.74984,                 1.5986,              0.0001618,              0.0001618,              0.0001618
                    130,                0.70829,                0.51453,                 1.1026,                0.79569,                  0.764,                 0.8765,                0.59412,                 1.1561,                0.73355,                 1.5987,              0.0001552,              0.0001552,              0.0001552
                    131,                0.69855,                0.51355,                 1.1001,                0.79536,                0.80657,                0.88548,                0.60179,                 1.1478,                0.73245,                 1.5967,              0.0001486,              0.0001486,              0.0001486
                    132,                0.68697,                0.49016,                 1.0906,                0.83574,                0.75984,                0.88723,                0.60615,                 1.1408,                0.73306,                 1.5904,               0.000142,               0.000142,               0.000142
                    133,                0.69802,                0.50954,                 1.0955,                0.80007,                0.76308,                0.88455,                0.60502,                 1.1354,                0.74094,                 1.5791,              0.0001354,              0.0001354,              0.0001354
                    134,                0.69979,                0.50993,                 1.0959,                0.83705,                0.75157,                0.88336,                0.59736,                 1.1488,                0.72139,                  1.592,              0.0001288,              0.0001288,              0.0001288
                    135,                0.68866,                0.49203,                 1.0861,                0.80789,                0.76274,                 0.8831,                0.60113,                 1.1412,                0.72033,                 1.5912,              0.0001222,              0.0001222,              0.0001222
                    136,                0.67968,                0.49073,                 1.0854,                0.71958,                0.82689,                0.87274,                0.59431,                 1.1451,                0.73678,                 1.5945,              0.0001156,              0.0001156,              0.0001156
                    137,                0.68891,                0.50108,                 1.0883,                 0.7411,                0.82367,                0.88167,                0.61793,                 1.1365,                0.72352,                 1.5807,               0.000109,               0.000109,               0.000109
                    138,                0.68387,                0.49658,                 1.0962,                0.75218,                0.81754,                0.87967,                0.60035,                 1.1279,                0.70535,                 1.5716,              0.0001024,              0.0001024,              0.0001024
                    139,                0.67751,                0.47951,                 1.0809,                 0.7143,                0.83888,                 0.8747,                0.61492,                 1.1317,                0.72705,                 1.5809,               9.58e-05,               9.58e-05,               9.58e-05
                    140,                0.67594,                0.48249,                 1.0835,                0.71205,                0.82578,                0.87147,                0.59529,                 1.1439,                0.72755,                 1.5918,               8.92e-05,               8.92e-05,               8.92e-05
                    141,                0.63723,                 0.4114,                 1.0675,                0.83278,                0.73192,                0.87877,                0.57079,                 1.1431,                0.72029,                 1.6006,               8.26e-05,               8.26e-05,               8.26e-05
                    142,                0.62045,                0.39191,                 1.0624,                0.75916,                0.79793,                0.87431,                0.58954,                 1.1294,                0.72879,                 1.5788,                7.6e-05,                7.6e-05,                7.6e-05
                    143,                0.60693,                0.38455,                 1.0463,                 0.7321,                0.81398,                0.78194,                0.51834,                 1.1373,                0.72537,                 1.5913,               6.94e-05,               6.94e-05,               6.94e-05
                    144,                0.61918,                0.38171,                 1.0582,                0.74325,                 0.8019,                 0.8679,                0.58465,                 1.1415,                0.72043,                 1.5911,               6.28e-05,               6.28e-05,               6.28e-05
                    145,                0.60908,                0.37954,                 1.0528,                0.72547,                0.83463,                0.86642,                0.58386,                 1.1324,                0.71818,                 1.5835,               5.62e-05,               5.62e-05,               5.62e-05
                    146,                0.60641,                0.37547,                 1.0538,                0.73319,                0.81867,                0.86389,                0.58378,                 1.1399,                0.72016,                 1.5943,               4.96e-05,               4.96e-05,               4.96e-05
                    147,                0.59698,                0.36858,                 1.0406,                0.75231,                0.81381,                0.86582,                 0.5862,                  1.139,                0.71686,                 1.5974,                4.3e-05,                4.3e-05,                4.3e-05
                    148,                 0.5915,                0.36775,                 1.0417,                0.76427,                0.80481,                0.86709,                 0.5858,                   1.14,                0.71922,                 1.5978,               3.64e-05,               3.64e-05,               3.64e-05
                    149,                0.59538,                0.37213,                 1.0495,                0.74952,                0.82928,                0.87532,                0.59149,                 1.1387,                0.72254,                 1.5978,               2.98e-05,               2.98e-05,               2.98e-05
                    150,                0.58425,                0.36628,                 1.0382,                0.74997,                0.83956,                0.87454,                 0.5953,                 1.1317,                0.72397,                 1.5881,               2.32e-05,               2.32e-05,               2.32e-05
